id,text,label,
1,Ms. Wente is far from a leftist. She would be the first to call out Mr. Trudeau if he had delivered a poor performance. Her assessment of his interactions today with Mr. Trump are accurate. Trudeau did a good job today. It is what he had to do for all Canadians.,biased,
2,It's a gloomy day...and I am at work...,non-biased,
3,"Yes, stop before it is irreversible ... who cares about the 100,000 North Korean people per year who dies from starvation per year!",biased,
4,Took the 6 15pm bus. . Looks like peak traffic hour.,non-biased,
5,Why is it that everytime I go for a shower some comes to the house!! Am actualy going crazy there is a buzzin noise in my ears,non-biased,
6,"@Traunch_Burger Nooo you're not the only one, I think it gets to anyone and everyone who watches that movie it's soo sad",non-biased,
7,The Star Advertiser appears to endorse any headline that might reflect poorly on the president.\nVery predictable and good for a chuckle too. God forbid an MS-13 gang member bumps his head.,biased,
8,Sears demonstrably did NOT know how to attract customers. Your claims are withour backing evidence and therefore are also without merit.,non-biased,
9,"If the boy entered a fenced yard where the owner had unattended loaded pistols and rifles laying around, which, of course are quite dangerous, and was killed by one of them, the owner would have been hauled away in hand cuffs and charge with negligent homicide or some such thing. Why give the owner a pass because it was dangerous dogs that did the killing?",,
10,"Weed doesn't make people kill. If his motive is truly ""because he smoked all his weed"" that only means that he is mentally ill for committing such a heinous act over such a petty matter. It was probably also a lie to divert attention away from his true motive of trapping and killing someone who can't defend themselves. \n\nMay justice prevail.",biased,
11,@maybeimamazed me too... but don't die!!!! I NEED YOU!!!! YOU COMPLETE ME!! really though... don't die.,non-biased,
12,@ashley tisdale hope you have a great time,non-biased,
13,"""The question is why the silence of most men to change all this is so palpable.""\n\nMisogyny, like racism, homophobia, xenophobia, war, and poverty are ancient problems and seem to be part of our DNA.\n The roots of them are fear, greed, envy, narcissism, and false scarcity. These human foibles are what drive our global corporate capitalist economy. All the niceties of socially liberal change have been unable to humanize global capitalism; fear, greed, envy, narcissism and false scarcity have increased. Thus misogyny persists.\n We need a new economy more motivated by compassion, inclusiveness, and equality.\n Fortunately, the role models for it are alive and doing very well - Norway, Denmark, Sweden, Finland.",non-biased,
14,@psifertex Now *that* is a precious picture!,non-biased,
