id,text,label
1,Now they pulled the bill and no vote. Polls showed only 17% of the people backed the bill. I guess polls do matter.\nGuess Trump doesn't do too well when peoples actual votes determine the outcome. Not a great deal maker after all. No Electoral College in Congress...\nTired of all this winning yet?,biased
2,If you want on hold your Canadian passport of convenience you should pay taxes on your worldwide income no matter where you live. Period.\n\nJust like the US,biased
3,"In June I saw a woman with lime green hair on the subway stop wearing a T shirt that read: ""Get you toxic masculinity of out my face"". I thought was unnecessarily hostile and very strange, but apparently the term ""toxic masculinity"" is a modern meme being taught in universities. We will hear it more and more often, and we men will certainly be denied the right to defend ourselves from such generalized gender hatred.",biased
4,I'm bummed out that Danny Gokey was voted off AI last night.,non-biased
5,"North Korea restarted its nuclear program roughly after the US had invaded Iraq, because they knew they could be next. After the US / NATO bombed Libya, North Korea's leadership was probably certain they were next if they didn't have nuclear weapons. I'm not saying that it's great North Korea had developed its nukes, but at the same time they did it for good reason. The Americans can blame their own disastrous foreign policy for that. Now, there is a reason why nuclear-armed states do not fight each other, and if there is a potential for conflict, they prefer to talk. That's because the alternative is much worse and there can be no winners. North Koreans know that too, and I doubt they'd be willing to start a war they can't win. Therefore, it's naive to claim that they will become ""immune to diplomacy"". Of all things, diplomacy becomes the only thing available to influence policy when the alternative is nuclear weapons.",biased
6,"Yes, stop before it is irreversible ... who cares about the 100,000 North Korean people per year who dies from starvation per year!",biased
7,"All clear points and accurate. The end state, more than a decade of year-over-year gains in GDP, increase in wages...REAL wages lifted all the boats in the water. With ""all that consumin goin on out deah"" one could reasonably argue merit & demerit leading to where our country is at now. When Cayetano tried to play the ""1% tax cut"" game, but increased regualtions and fiscal burdens on big and small business in our state, then of course he could point to his ""tax cut"" that didn't work and say that ""see...tax cuts don't work"". By and large, most of the businesses here saw through that, but it wasn't those businesses that our intrepid reporters went to interview. They went to the big square building to get comments from those that oppose any and all tax relief, and as you rightly explained, deficit spent our state further into deeper debt. Volker's ideas looked good on a calculator, but his models were flawed to begin w/ because mostly they were static, not dynamic. got 2 go 2 plane",biased
8,"I'm sorry to snap like that and call you a nuisance but I have been having to defend myself to everyone and I am currently on the defensive. If I have some time to I will do as you say and look at your contributions and go to your editor review. Again I apologise. All the best,",non-biased
9,June gloom seems to have arrived early,non-biased
10,All these same arguments extend to giving consent to surgery to be performed while you are unconscious. The government is saying it is ok to given consent to being sliced and diced while unconscious but not ok to give consent to being woken by an intimate touch. Insanity if you ask me.,biased
11,"[Not all of them. Some of my comments are merely witty observations or ironic quips.]\nYou mentioned ""out of hand"" comments in the middle of a rant, your meaning (at the time) didn't make much sense to me. I didn't ask then because we already had other topics that took precedent to me. However, this comment clarified the previous conversation.\n.\nWe also discussed how this system is not conducive to reasonable conversation. Yet here we both are.",non-biased
12,"There are no lay member of the FSSPX, it is a society consistingly solely of priests. Pope Francis has said the priests of this fraternity may licitly celebrate nuptial Masses for those who desire them to. This actually means that any Masses celebrated by the priests of this fellowship are undoubtedly valid but also licit and that those who receive Holy Communion at those Masses do so licitly. He has also allowed local Ordinaries to permit FSSPX priests in certain circumstances to witness the exchange of marriage vows on behalf of the Catholic Church. FSSPX priests are also permitted by Pope Francis to hear confessions and absolve sins.\nThere is no comparison whatsoever between the FSSPX and the divorced and remarried. The Catholic Church has never demanded that those whose marriages have been witnessed by an FSSPX priest or bishop be remarried or required to be subject to 'sanatio in radice'.",
