labeler,labeler_row_id,is_iaa,beads_row_idx,gold_label,non_beads_vote
a,1,0,3642,non-biased,biased
a,2,0,6114,biased,biased
a,3,0,5592,non-biased,split
a,4,0,538,biased,biased
a,5,0,2881,non-biased,biased
a,6,1,5567,non-biased,biased
a,7,0,1022,non-biased,biased
a,8,0,5498,non-biased,split
a,9,0,2012,non-biased,biased
a,10,0,2852,non-biased,biased
a,11,0,4930,non-biased,split
a,12,1,6318,non-biased,biased
a,13,0,2830,biased,non-biased
a,14,0,4362,non-biased,split
a,15,1,6710,non-biased,non-biased
a,16,0,5508,biased,biased
a,17,0,2159,non-biased,biased
a,18,0,1937,biased,non-biased
a,19,1,5413,biased,split
a,20,1,5041,biased,split
a,21,1,1281,non-biased,split
a,22,0,4523,biased,split
a,23,0,4419,biased,biased
a,24,0,2380,biased,biased
a,25,0,4581,biased,split
a,26,0,942,non-biased,biased
a,27,1,4029,non-biased,split
a,28,0,6455,non-biased,biased
a,29,1,467,biased,split
a,30,0,3568,biased,split
a,31,0,922,non-biased,split
a,32,1,3067,non-biased,biased
a,33,0,4342,non-biased,biased
a,34,0,460,biased,split
a,35,0,5752,non-biased,biased
a,36,0,3994,biased,biased
a,37,0,941,biased,split
a,38,1,3520,non-biased,biased
a,39,0,2133,non-biased,split
a,40,1,982,biased,biased
a,41,0,6657,non-biased,split
a,42,0,6713,biased,biased
a,43,0,791,biased,split
a,44,0,2041,non-biased,biased
a,45,0,4335,non-biased,biased
a,46,0,1949,non-biased,biased
a,47,0,3443,non-biased,biased
a,48,0,6159,biased,biased
a,49,1,1332,biased,biased
a,50,0,3525,biased,split
a,51,1,4270,biased,biased
a,52,1,2005,non-biased,non-biased
a,53,0,2256,biased,biased
a,54,1,3815,biased,biased
a,55,0,1303,biased,biased
a,56,1,5872,non-biased,biased
a,57,0,5480,biased,split
a,58,0,95,biased,split
a,59,1,2075,biased,split
a,60,0,4861,biased,split
a,61,0,435,biased,biased
a,62,1,2143,non-biased,biased
a,63,0,4771,biased,split
