id,text,label
1,"@disasterarea1 sounds nice, i had a tin of baked beans as not been shopping yet",non-biased
2,Because they don't trust the chain of custody of their voter envelope.,biased
3,@ThaEntertainer no one has a crush on me either... not that i know of anyway! [big sigh],non-biased
4,@wsamuel Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,biased
5,"@Fearnecotton can you play some tim minchin songs, i need a good laugh",non-biased
6,Just came back from watching my brothers play seven hours of volleyball with @jacquelinecano &amp; Alex Smith. Fun but very long and tiring.,non-biased
7,"Yes, Bro, I sure did. She has her work cut out for herself. Normally, she is as cool as a cucumber and can deflect like nobody I have ever seen. She seemed so rattled on MTP.",biased
8,@chrisspeer how is it? I work til 5.,non-biased
9,Sounds more like he was frollicking through the state at high speed 😲,biased
10,"Doing my morning workout before church. It would be nice, Festival-wise, if it doesn't rain. Rain &amp; facepaint don't go well together",non-biased
11,name the movie... &quot;i wanna be like yooo-oo-ooo....&quot; http://tinyurl.com/pqbyst,non-biased
12,"*sigh*\nspe·cif·i·cal·ly\nspəˈsifək(ə)lē/\nadverb\n1.\nin a way that is exact and clear; precisely.\n""a workman called at the time I specifically stated I would not be in""",non-biased
13,"Attack the messenger or deflection, or combination of Both, the Queen of the liberal Trolls. Well done.",biased
14,Mutual combat isn't murder. Where did you get that from?,biased
15,"If Trudeau does not have a ""Merkel moment"" then he will go down as a one term PM, and he will take most of the Liberal caucus with him! He needs to mature into a PM who puts his personal beliefs aside and concentrates on what is best for Canada.",biased
16,@bassguitar65 : certainly seems like it has that tendency.,non-biased
17,"Does anyone know what that little budgie, Shaun Abrahams is doing these days? I have not seen him, nor heard a peep out of him in ages! Is he still in SA, or at a workshop in Dubai?",non-biased
18,"Indeed those that own cats have ""pathetic lives"" and are ""scum"" and ""emotional cripples""...as opposed to idiots that feel the need to spew nonsense in defense of a psychopath. Those people have full lives and are emotionally well-rounded.",non-biased
19,"Weed doesn't make people kill. If his motive is truly ""because he smoked all his weed"" that only means that he is mentally ill for committing such a heinous act over such a petty matter. It was probably also a lie to divert attention away from his true motive of trapping and killing someone who can't defend themselves. \n\nMay justice prevail.",biased
20,"School run. Yes you can set your watches by me, im THAT predictable and even more boring",non-biased
21,Lies again. And my grandchildren will thank me.,biased
22,Worse than Haiti? That's a scandal. I didn't know it was *possible* to be worse than Haiti.,biased
23,"Unfortunately, she strayed a bit from the politically correct party line. Had she done an interview with Assad or with Castro, both cruel murderers, or with some serial killer, she would have been fine.",biased
24,What you know about Wally's? http://twitpic.com/6ani3 $5 coronas though,non-biased
25,Setting up all the equipment for the outdoor show. We haven't played one like this in a long time. Wow its a lot of work,non-biased
26,"""::::::I don't understand your reference. While I admit that I consider certain races """"inferior"""" (depending on how one defines the word """"inferior""""), I certainly have no desire to wipe anybody out. I don't recall ever saying that I did, and perhaps more to the point, it was never my intention to use Wikipedia as a soap box for my personal beliefs about race. I try to restrain myself from inserting personal bias when editing articles here, but it seems that editors with a far-left/Marxist/liberal/Jewish take on things make no effort to restrain themselves. Nor do they have to, since to the best of my knowledge, no one has ever been banned from Wikipedia for being a """"Marxist troll"""" or anything to that effect. \n""",biased
27,Having to be at work this early in the morning is just WRONG!!!,biased
28,"You put ""liberals"" in quotes as if that's a word I commonly use. If I do use it, it's not as a pejorative. I may not be reaching across the aisle to give you a hug and comfort you, but I have better things to do than call people names. You certainly have not read ""every post"" of mine.",biased
29,So sad Figlios in Uptown is closing....such a fun place for happy hour.,non-biased
30,"How about a third possibility: Goverments want taxes so they collect them - doesn't seem to matter from whom or who came first - preferrably both, business and consumer .-)",biased
31,"Finished listening to the cure now, they always relax me. Might finish off that GBH I was watching last night...",non-biased
32,i wouldn't mind watching the derby while sipping on a mint julep,non-biased
33,"The two situations are not remotely comparable. For one thing, the proposed Liberal-NDP coalition of 2008 still needed the votes of the Bloc Quebecois to sustain it. It was the reluctance of many Liberals to lead a government beholden to the Bloc that led the new leader, Michael Ignatieff, to renege on the deal his predecessor Stephane Dion had signed with Jack Layton. As well, because the Conservatives had held office for less than three years, their supporters could claim, with some justification, that they deserved a fair go.\n\nIn the current case, the NDP and the Greens have a slim but decisive majority in the Legislature. Neither party has reason to back out after being in opposition for so long. Meanwhile, after 16 years in power, the Liberals' time is up. They know better than to let Clark press for fresh elections--a move that would only provoke a sharp backlash from the public. Cooler heads will prevail; others, including Clark's, will likely roll.",biased
